timestamp,station,borough,ridership,transfers,hour
2026-04-01 01:00:00,"125 St (4,5,6)",Manhattan,5,0,1
2026-04-01 01:00:00,"Bronx Park East (2,5)",Bronx,2,0,1
2026-04-01 01:00:00,"Prospect Av (2,5)",Bronx,4,0,1
2026-04-01 01:00:00,"Church Av (B,Q)",Brooklyn,6,0,1
2026-04-01 01:00:00,69 St (7),Queens,1,0,1
2026-04-01 01:00:00,"Canal St (6,J,Z,N,Q,R,W)",Manhattan,2,0,1
2026-04-01 01:00:00,"125 St (A,C,B,D)",Manhattan,2,0,1
2026-04-01 01:00:00,"116 St (C,B)",Manhattan,2,0,1
2026-04-01 01:00:00,"Coney Island-Stillwell Av (D,F,N,Q)",Brooklyn,13,0,1
2026-04-01 01:00:00,"Broad St (J,Z)",Manhattan,1,0,1
2026-04-01 01:00:00,Jamaica-Van Wyck (E),Queens,1,0,1
2026-04-01 01:00:00,Flushing Av (G),Brooklyn,13,0,1
2026-04-01 01:00:00,"Court Sq-23 St (7,E,F,G)",Queens,2,0,1
2026-04-01 01:00:00,"Grand Central-42 St (4,5,6,7,S)",Manhattan,10,0,1
2026-04-01 01:00:00,"Jackson Hts-Roosevelt Av/74 St-Broadway (7,E,F,M,R)",Queens,12,2,1
2026-04-01 01:00:00,"Broadway-Lafayette St/Bleecker St (6,B,D,F,M)",Manhattan,7,0,1
2026-04-01 01:00:00,3 Av (L),Manhattan,3,0,1
2026-04-01 01:00:00,Morgan Av (L),Brooklyn,1,0,1
2026-04-01 01:00:00,Clinton-Washington Avs (G),Brooklyn,1,0,1
2026-04-01 01:00:00,Clinton-Washington Avs (G),Brooklyn,1,0,1
2026-04-01 01:00:00,116 St-Columbia University (1),Manhattan,24,1,1
2026-04-01 01:00:00,"Wall St (2,3)",Manhattan,1,0,1
2026-04-01 01:00:00,"Hoyt St (2,3)",Brooklyn,1,0,1
2026-04-01 01:00:00,53 St (R),Brooklyn,9,0,1
2026-04-01 01:00:00,53 St (R),Brooklyn,1,0,1
2026-04-01 01:00:00,Bedford Park Blvd-Lehman College (4),Bronx,6,0,1
2026-04-01 01:00:00,"Canal St (6,J,Z,N,Q,R,W)",Manhattan,1,0,1
2026-04-01 01:00:00,"Woodhaven Blvd (J,Z)",Queens,1,0,1
2026-04-01 01:00:00,"Canal St (A,C,E)",Manhattan,4,0,1
2026-04-01 01:00:00,Van Siclen Av (C),Brooklyn,1,0,1
2026-04-01 01:00:00,"Elmhurst Av (M,R)",Queens,1,0,1
2026-04-01 01:00:00,191 St (1),Manhattan,2,0,1
2026-04-01 01:00:00,WTC Cortlandt (1),Manhattan,1,0,1
2026-04-01 01:00:00,"Newkirk Av-Little Haiti (2,5)",Brooklyn,1,0,1
2026-04-01 01:00:00,72 St (Q),Manhattan,1,0,1
2026-04-01 01:00:00,"Myrtle Av (M,J,Z)",Brooklyn,1,0,1
2026-04-01 01:00:00,190 St (A),Manhattan,4,0,1
2026-04-01 01:00:00,Norwood-205 St (D),Bronx,6,0,1
2026-04-01 01:00:00,21 St-Queensbridge (M),Queens,1,0,1
2026-04-01 01:00:00,"3 Av-149 St (2,5)",Bronx,3,0,1
2026-04-01 01:00:00,"Crescent St (J,Z)",Brooklyn,1,0,1
2026-04-01 01:00:00,1 Av (L),Manhattan,43,0,1
2026-04-01 01:00:00,231 St (1),Bronx,1,0,1
2026-04-01 01:00:00,"Church Av (2,5)",Brooklyn,1,0,1
2026-04-01 01:00:00,"225 St (2,5)",Bronx,2,0,1
2026-04-01 01:00:00,"West Farms Sq-E Tremont Av (2,5)",Bronx,9,1,1
2026-04-01 01:00:00,"42 St-Bryant Pk/5 Av (7,B,D,F,M)",Manhattan,1,0,1
2026-04-01 01:00:00,"116 St (C,B)",Manhattan,4,0,1
2026-04-01 01:00:00,111 St (A),Queens,1,0,1
2026-04-01 01:00:00,Far Rockaway-Mott Av (A),Queens,3,0,1
2026-04-01 01:00:00,"167 St (B,D)",Bronx,2,0,1
2026-04-01 01:00:00,Avenue X (F),Brooklyn,3,0,1
2026-04-01 01:00:00,Bedford-Nostrand Avs (G),Brooklyn,1,0,1
2026-04-01 01:00:00,"30 Av (N,W)",Queens,2,0,1
2026-04-01 01:00:00,Mosholu Pkwy (4),Bronx,6,0,1
2026-04-01 01:00:00,"86 St (4,5,6)",Manhattan,2,0,1
2026-04-01 01:00:00,34 St-Hudson Yards (7),Manhattan,1,0,1
2026-04-01 01:00:00,Avenue M (Q),Brooklyn,1,0,1
2026-04-01 01:00:00,"Metropolitan Av/Lorimer St (G,L)",Brooklyn,44,1,1
2026-04-01 01:00:00,"103 St (C,B)",Manhattan,2,0,1
2026-04-01 01:00:00,Van Siclen Av (C),Brooklyn,2,0,1
2026-04-01 01:00:00,57 St (M),Manhattan,1,0,1
2026-04-01 01:00:00,"Grand St (B,D)",Manhattan,1,0,1
2026-04-01 01:00:00,"Bergen St (F,G)",Brooklyn,16,0,1
